영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO)
Daqing Sartu Airport,다칭 사르트누 공항,DQA,ZYDQ
Dar Es Salaam International Airport,다르에스살람 국제공항,DAR,HTDA
Darwin International Airport,다윈 국제공항,DRW,YPDN
Dashte Naz Airport,다쉿 나즈 공항,SRY,OINZ
Datong Airport,다퉁 공항,DAT,ZBDT
Dawadmi Domestic Airport,다웃드미 국내공항,DWD,OED 
Dayrestan Airport,Dayrestan 공항,GSM,OIKQ
Daytona Beach International Airport,데이토너비치 국제공항,DAB,KDAB
Dazhou Heshi Airport,대주 허시 공항,DAX,ZUDZ
Deer Lake Regional Airport,디어 레이크 지역 공항,YDF,CYDF
Del Bajio Airport ,델바지오 공항 ,BJX,MMLO
Delingha Airport,델린가 공항,HXD,ZLDL
Demokritos Airport,데모크리토스 공항,AXD,LGAL
Denver International Airport ,덴버 국제공항 ,DEN,KDEN
Dera Ghazi Khan Airport,드라 카지칸 공항,DEA,OPDG
Dera Ismail Khan Airport,데라이스마일칸 공항,DSK,OPDI
Des Moines International Airport,디모인 국제공항,DSM,KDSM
Detroit Metropolitan Wayne County Airport,디트로이트 메트로폴리탄 웨인 카운티 공항,DTW,KDTW
Devi Ahilyabai Holkar International Airport ,데비 아힐야바이 홀카 국제공항 ,IDR,VAID
Devonport Airport,데번포트 공항,DPO,YDPO
Diagoras Airport,디아고라스 공항,RHO,LGRP
Dijon longvic Airport ,디종 롱빅 공항 ,DIJ,LFSD
Dimapur Airport / Dimapur Air Force Base,디마푸르 공항,DMU,VEMR
Dimitrios Vikelas Airport ,드미트리오스 비켈라스 공항 ,JSY,LGSO
Dionisios Solomos Airport ,디오니소스 솔로모스 공항 ,ZTH,LGZA
Diori Hamani International Airport,디오리 히머니 국제공항,NIM,DRRN
Dipolog Airport,디폴로그 공항,DPL,RPMG
Diqing Shangri-La Airport,디칭 샹그릴라 공항,DIG,ZPDQ
Diu Airport,디우 공항,DIU,VA1P
Diyarbakir Airport,디야르바키르 공항,DIY,LTCC
Dnipropetrovsk International Airport,드네프로페트로브스크 국제공항,DNK,UKDD
Dodge City Regional Airport,닷지 시티 지역공항,DDC,KDDC
Doha International Airport,도하 국제공항,DOH,OTBD
Dole Tavaux Airport,돌 타보 공항,DLE,LFGJ
Dolomiti Airport ,돌로미티 공항 ,BZO,LIPB
Domodedovo International Airport,도모도데보 국제공항,DME,UUDD
Don Mueang International,방콕 국제공항 ,DMK,VTBD
Dong Hoi Airport,동호이 공항,VDH,VVDH
Dong Tac Airport,동 탁 공항,TBB,VVTH
Dongying Airport,동잉 공항,DOY,ZSDY
Dortheys Hiyo Eluay International Airport,도르테스 히요 엘루아이 국제공항,DJJ,WAJJ
Dortmund Airport,도르트문트 공항,DTM,EDLW
Dothan Regional Airport,도탄 지역공항,DHN,KDHN
Douala International Airport,두알라 국제공항,DLA,FKKD
Dr Gastao Vidigal Airport,닥터 구아스토 바이디잘 공항,MII,SBML
Dr. Ambedkar International Airport ,암베드카 국제공항 ,NAG,VANP
Dresden Klotzsche Airport,드레스덴 클로츠 공항,DRS,EDDC
Dubai International Airport,두바이 국제공항,DXB,OMDB
Dubbo Airport,두보 공항,DBO,YSDU
Dublin International Airport,더블린 국제공항,DUB,EIDW
Dubrovnik Airport,두브로브니크 공항,DBV,LDDU
Dubuque Regional Airport,더뷰크 지역공항,DBQ,KDBQ
Dundee Airport,던디 공항,DND,EGPN
Dunedin International Airport,두네딘 국제공항,DUD,NZDN
Dunhuang Airport,둔황 공항,DNH,ZLDH
Duong Dang Airport,두옹 당 공항,PQC,VVPQ
Duqm Airport,두쿰 공항,DQM,OODQ
Durango-La Plata County Airport,두랑고 라플라타 카운티 공항,DRO,KDRO
Durham Tees Valley Airport ,더햄티즈 공항 ,MME,EGNV
Dyce Airport ,다이스 공항,ABZ,EGPD
Dzaoudzi Pamandzi Airport,쟈우지 파만지 공항,DZA,FMCZ
Eagle County Regional Airport,이글카운티 지역공항,EGE,KEGE
East London Airport,이스트런던 공항,ELS,FAEL
Echterdingen Airport,에흐테르뎅겐 공항,STR,EDDS
Edinburgh Airport,에든버러 공항,EDI,EGPH
Edmonton International Airport,에드먼턴 국제공항,YEG,CYEG
Edremit Korfez Airport,에드레밋 코르페즈 공항,EDO,LTFD
Eduardo Gomes Airport,에두와르토 고메즈 공항,MAO,SBEG
Edward River Airport,폼퓨라오 공항,EDR,YPMP
Edwards County Airport,에드워즈 카운티 공항,ECU,KECU
Eelde Airport,엘데 공항,GRQ,EHGG
Egilsstadir Airport,에질스타더 공항,EGS,BIEG
Eglinton Airport,에글린튼 공항,LDY,EGAE
Eindhoven Airport,에인트호벤 공항,EIN,EHEH
Ejin Banner Taolai Airport,에진 배너 도라이 공항,EJN,ZBEN
El Alto Airport,엘 알토 공항,LPB,SLLP
El Alto International Airport,엘 알토 국제공항,LBP,SLLP
El Bagre Airport,엘바그레 공항,EBG,SKEB
El Bayadh Airport,El Bayadh Airport,EBH,DAOY
El Cadillal Airport ,엘 카디럴 공항 ,JUJ,SASJ
El Carano Airport,엘 카라노 공항,UIB,SKUI
El Eden Airport,엘 에덴 공항,AXM,SKAR
El Embrujo Airport,엘 엠부르조 공항,PVA,SKPV
El Maou Airport,엘 마오우 공항,SFA,DTTX
El Nohza Airport,엘 노흐자 공항,ALY,HEAX
El Palomar Airport,엘 팔로마 공항,EPA,SADP
El Paso International Airport,엘패소 국제공항,ELP,KELP
El Plumerillo Airport,엘 풀루메릴로 공항,MDZ,SAME
El Pucu Airport ,엘 퍼쿠 공항 ,FMA,SARF
El Tajin National Airport,엘 타진 내셔널공항,PAZ,MMPA
El Tehuelche Airport,엘 테휴엘체 공항,PMY,SAVY
El Yopal Airport,엘 여팔 공항,EYP,SKYP
Elazig Airport,엘라지그 공항,EZS,LTCA
Eldorado Airport,엘도라도 공항,BOG,SKBO
Eldoret Airport,엘도렛 공항,EDL,HKEL
Eleftherios Venizelos International Airport,엘레프테리오스 베니젤로스 국제공항,ATH,LGAV
Eliat Airport ,엘라트 공항 ,ETH,LLET
Ellington Airport,엘링튼 공항,EFD,KEFD
Elmas Airport,엘마스 공항,CAG,LIEE
Eloy Alfaro International Airport,엘로이 알파로 국제공항,MEC,SEMT
Eltari Airport,엘타리 공항,KOE,WATT
Emerald Airport,에머럴드 공항,EMD,YEML
Enfidha-Hammamet International Airport,Enfidha-Hammamet 국제공항,NBE,DTNH
Ennis Big Sky Airport,에니스 빅 스카이 에어포트,EKS,KEKS
Enontekio Airport,에논테키외 공항,ENF,EFET
Enrique Olaya Herrera Airport ,엔리케 울라야 헤레라 공항,EOH,SKMD
Ensheim Airport,안사임 공항,SCN,EDDR
Enshi Xujiaping Airport,엔시 서가핑 공항,ENH,ZHES
Entebbe International Airport,엔테베 / 캄팔라 국제공항,EBB,HUEN
Entzheim Airport ,앙쯔하임 공항 ,SXB,LFST
Eppley Airfield Airport,에플리 필드,OMA,KOMA
Erbil International Airport,에르빌 국제공항,EBL,ORER
Erenhot Saiwusu International Airport,Erenhot Saiwusu 국제 공항,ERL,ZBER
Erfurt Airport,에르푸르트 공항,ERF,EDDE
Erik Nielsen Whitehorse International Airport,에릭 닐슨 화이트호스 국제공항,YXY,CYXY
Ernesto Cortissoz Airport,에르네스토 코르티쇼즈 공항,BAQ,SKBQ
Eros Airport,에로스 공항,ERS,FYWE
Erzincan Airport,에르진잔 공항,ERC,LTCD
Erzurum Airport,에르주룸 공항,ERZ,LTCE
Es Senia Airport,에 세니아 공항,ORN,DAOO
Esbjerg Airport,에스비에르 공항,EBJ,EKEB
Esenboga Airport,에센보가 공항,ESB,LTAC
Esperance Airport,에스페란스 공항,EPR,YESP
Esquel Airport,에스퀄 공항,EQS,SAVE
Essendon Airport,에션던 공항,MEB,YMEN
Eugene Airport / Mahlon Sweet Field,유진 공항 ,EUG,KEUG
Eugenio M. de Hostos Airport,에우제니오 M. 데 호스토스 공항,MAZ,TJMZ
Eurico Sales Airport,에우리코 살레즈 공항,VIX,SBVT
EuroAirport Basel-Mulhouse-Freiburg,유로공항,BSL,LFSB
Evansville Regional Airport,에번즈빌 지역공항,EVV,KEVV
Evelio Javier Airport,에벨리오 하비에르 공항,EUQ,RPVS
Evenes Airport,에베네스 공항,EVE,ENEV
Exeter International Airport,엑서터 국제공항,EXT,EGTE
Faaa International Airport,파아 공항,PPT,NTAA
Faaite Airport,Faaite 공항,FAC,NTKF
Fabio Alberto Leon Bentley Airport,파비오 알베르토 레옹 벤틀레이 공항,MVP,SKMU
Fairbanks International Airport,페어뱅크스 국제공항,FAI,PAFA
Fairwood Common Airport,페어우드 커몬 공항,SWS,EGFH
Faisalabad International Airport,피살라바드 국제공항,LYP,OPFA
Fakahina Airport,파카히나 공항,FHZ,NTKH
Fakarava Airport,파카라바 공항,FAV,NTGF
Falconara Airport,팔코나라 공항,AOI,LIPY
Faleolo International Airport,팔레오로 공항,APW,NSFA
Fangatau Airport,팡가토 공항,FGU,NTGB
Fare Airport,파레 공항,HUH,NTTH
Faro Airport,파루 공항,FAO,LPFR
Fascene Airport,페신 공항,NOS,FMNN
Fatmawati Soekarno Airport,파트마와티 수카르노 공항,BKS,WIGG
Federal de Bachigualato Airport,페데럴 데 바치구알라토 공항,CUL,MMCL
Federal del Valle del Fuerte International Airport,페데랄 델 발 델 푸어트 국제공항,LMM,MMLM
Felix Eboue Airport,로샹보 공항,CAY,SOCA
Felix Houphouet Boigny Airport,펠릭스 우후에 보아니 공항,ABJ,DIAP
Ferihegy Airport,페리헤기 공항,BUD,LHBP
Fertilia Airport,퍼틸랴 공항,AHO,LIEA
Fisherton Airport ,피셔튼 공항 ,ROS,SAAR
Fiumicino Airport ,피우미치노 공항 ,FCO,LIRF
Flamingo International Airport ,플라밍고 국제공항 ,BON,TNCB
Flesland Airport,플레스랜드 공항,BGO,ENBR
Flinders Island Airport,플린더스아일랜드 공항,FLS,YFLI
Flores Airport,플로레스 공항,FLW,LPFL
Floro Airport ,플로로 공항,FRO,ENFL
Fontanarossa Airport ,폰타가로싸 공항 ,CTA,LICC
Forbes Field,포브스 필드,FOE,KFOE
Forli Airport,포를리 공항,FRL,LIPK
Forrest Hill Airport,포레스트 힐 공항,WGA,YSWG
Fort Lauderdale-Hollywood International Airport,포트 로더데일 할리우드 국제공항,FLL,KFLL
Fort McMurray Airport,포트맥머레이 공항,YMM,CYMM
Fort Smith Regional Airport,포트스미스 지역공항,FSM,KFSM
Fort Wayne International Airport,포트웨인 국제공항,FWA,KFWA
Fort Worth Alliance Airport,포트워스 앨리언스 공항,AFW,KAFW
Foshan Shadi Airport,불산 샤디 공항,FUO,ZGFS
Franca Airport,프랑카 공항,FRC,SBFC
Francisco Carle Airport,프란시스코 칼레 공항,JAU,SPJJ
Francisco Mendes Airport ,프란시스코 멘데스 국제공항,RAI,GVNP
Francisco Pereira Lopes Airport,프란치스코 페레이라 로페즈 공항,QSC,SDSC
Francisco Sa Carneiro Airport ,프란치스코 사 카르네이로 공항 ,OPO,LPPR
Francisco Sarabia International Airport ,프란시스 사라비아 국제공항 ,TRC,MMTC
Francistown Airport,프란시스타운 공항,FRW,FBFT
Frankfurt International Airport ,프랑크푸르트 국제공항 ,FRA,EDDF
Frankton Airport,프랭크톤 공항,ZQN,NZQN
Frans Kaisiepo Airport ,프랭크 캐시에포 공항 ,BIK,WABB
Fresno Yosemite International Airport,프레즈노 요세미티 국제공항,FAT,KFAT
Friedman Memorial Airport,프라이드먼 미모리얼 공항,SUN,KSUN
Friedrichshafen Airport,프리드리히스하펜 공항 ,FDH,EDNY
Froso Airport,프로소 공항,OSD,ESNZ
Fuaamotu International Airport,후아모투 국제공항,TBU,NFTF
Fuerteventura Airport,푸에르트벤츄라 공항,FUE,GCFV
Fuhlsbuettel Airport,풀쉬비텔 공항,HAM,EDDH
Fukui Airport,후쿠이 공항,FKJ,RJNF
Fukuoka Airport,후쿠오카 공항,FUK,RJFF
Fukushima Airport,후쿠시마 공항,FKS,RJSF
Fuyang Airport,푸양 공항,FUG,ZSFY
Fuyuan Dongji Airport,부유 동지 공항,FYJ,ZYFY
Fuyun Koktokay Airport,Fuyun Koktokay Airport,FYN,ZWFY
Fuzhou Chengle International Airport,푸저우 쳉글 국제공항,FOC,ZSFZ
Gabes Airport,게이브스 공항,GAE,DTTG
Gafsa Airport,가프사 공항,GAF,DTTF
Gaggal Airport,개갈 공항,DHM,VIGG
Gainesville Regional Airport,게인즈빌 공항,GNV,KGNV
Galileo Galilei Airport ,갈릴레오 갈릴레이 공항 ,PSA,LIRP
Gallatin Field Airport,갤러틴 필드 공항,BZN,KBZN
Gallivare Airport,옐리바레 공항,GEV,ESNG
Gander International Airport,갠더 국제공항,YQX,CYQX
Gandhidham Airport ,간디햄 ,IXY,VAKE
Ganja International Airport ,지안쟈 국제공항,KVD,UBBG
Gannan Xiahe Airport,간난 하하 공항,GXH,ZLXH
Ganzhou Airport,간저우 공항,KOW,ZSGZ
Gap Tallard Airport,갭 탤러드 공항,GAT,LFNA
Garden City Regional Airport,가든시티 지역공항,GCK,KGCK
Garoua International Airport,가루아 국제공항,GOU,FKKR
Gary/Chicago International Airport,게리 시카고 국제공항,GYY,KGYY
Garze Gesar Airport,가르제 게사르 공항,GZG,ZUGZ
Gasa Airport ,가사 공항 ,JHG,ZPJH
Gassim Regional Airport,가심 지역공항,ELQ,OEGS
Gatwick Airport,개트윅 공항,LGW,EGKK
Gaya Airport,가야 공항,GAY,VEGY
Gazipasa Alanya Airport,Gazipasa-Alanya 공항,GZP,LTFG
Gelendzhik Airport,겔렌즈지크 공항,GDZ,URKG
General A.V. Cobo Airport,제네랄 A.V 코보 공항,LET,SKLT
General Enrique Mosconi Airport,제네랄 엔리케 모스코니 공항,CRD,SAVC
General F. Javier Mina Airport ,제너랄 F. 자비에 미나 공항 ,TAM,MMTM
General Fierro Villalobos Airport ,제너럴 피에르 빌라로보스 공항 ,CUU,MMCU
General Francisco J. Mujica International Airport,제너널 프란치스코 J. 뮤지카 국제공항,MLM,MMMM
General Jose de San Martin Airport,제네랄 호세 데 산 마틴 공항,PSS,SARP
General Jose M. Yanez Airport ,제너럴 호세 M. 야네즈 공항 ,GYM,MMGM
General Lucio Blanco Airport ,제네럴 루치오 블랑코 공항 ,REX,MMRX
General Manuel Marquez de leon Airport ,제너랄 마뉴엘 마르케즈 데 레옹 공항 ,LAP,MMLP
General Mariano Escobedo Airport ,제너럴 마리아노 공항 ,MTY,MMMY
General Martin Miguel de Guemes Airport ,제너럴 마틴 미구엘 드 게메즈 공항 ,SLA,SASA
General Mitchell International Airport,제너랄 미첼 국제공항,MKE,KMKE
General Pedro J. Mendez National Airport,제너럴 페드로 J. 멘데즈 내셔널 공항,CVM,MMCV
General Pesqueira Garcia Airport ,제네럴 페스케이라 가르시아 공항 ,HMO,MMHO
General Pico Airport,제너럴피코 공항,GPO,SAZG
General Rafael Buelna Airport ,제너랄 라파엘 부엘나 공항 ,MZT,MMMZ
General Rodolfo Sanchez Taboada International Airport,제너랄 로볼포 산체트 타보다 국제공항,MXL,MMML
General Servando Canales International Airport,제너랄 세르반도 캐널즈 국제공항,MAM,MMMA
General Urquiza Airport ,제너럴 어퀴자 공항,PRA,SAAP
Geneva International Airport ,제네바 국제공항 ,GVA,LSGG
George Airport,죠지 공항,GRJ,FAGG
George Bush Intercontinental Airport,조지 부쉬 인터콘티넨탈 공항,IAH,KIAH
George F. L. Charles Airport ,비기 공항,SLU,TLPC
Gerald R. Ford International Airport,제랄드 R. 포드 국제공항,GRR,KGRR
Geraldton Airport,제럴턴 공항,GET,YGEL
Gerona Costa Brava Airport,지로나 코스타 브라바 공항,GRO,LEGE
Ghanzi Airport,간지 공항,GNZ,FBGZ
Ghriss Airport,기리스 공항,MUW,DAOV
Gialam Airport,지알람 공항,DIN,VVDB
Gilgit Airport,길깃 공항,GIL,OPGT
Gimhae International Airport,김해 국제공항,PUS,RKPK
Gimpo International Airport,김포 국제공항,GMP,RKSS
Gino Lisa Airport,지노 리사 공항,FOG,LIBF
Gizan Regional Airport,기잔 지역공항,GIZ,OEGN
Glacier Park International Airport,글래셔 파크 국제공항,FCA,KGPI
Gladstone Airport,글래드스톤 공항,GLT,YGLA
Glasgow International Airport ,글래스고 국제공항,GLA,EGPF
Glenegedale Airport,글리니지데일 공항,ILY,EGPI
Gloucestershire Airport,글로스터셔 공항,GLO,EGBJ
Gobernador Castello Airport,거버네도 카스텔로 공항,VDM,SAVV
Gokgeada Airport,Gokgead 공항,GKD,LTFK
Goleniow Airport,골레니요 공항,SZZ,EPSC
Golfo de Morrosquillo Airport,골포드모로스킬로 공항,TLU,SKTL
Golmud Airport,거얼무 공항,GOQ,ZLGM
Golog Maqin Airport,Golog Maqin 공항,GMQ,ZLGL
Goloson International Airport ,골로슨 국제공항 ,LCE,MHLC
Goodyear Municipal Airport,굿이어 시 공항,GYR,KGYR
Gorakhpur Air Force Base,고라크푸르 공군기지,GOP,VEGK
Gorgan Airport,고간 공항,GBT,OING
Gorno-Altaysk Airport,고르노-알타이스크 공항,RGK,UNBG
Goto-Fukue Airport,고토 후쿠에 공항,FUJ,RJFE
Govardhanpur Airport,고바르단푸르 공항,JGA,VAJM
Graciosa Airport,그라치오사 공항,GRW,LPGR
Grafton Airport,그래프턴 공항,GFN,YGFN
Gran Canaria Airport,그랑 카나리아 공항 ,LPA,GCLP
Granada Airport,그라나다 공항,GRX,LEGR
Grand Case Airport,그랑 케이스 공항,SFG,TFFG
Grand Forks International Airport,그랜드포크스 국제공항,GFK,KGFK
Grand-Santi Airport,그랜드 - 산티 공항,GSI,SOGS
Grantley Adams International Airport,그랜틀리 아담스 국제공항,BGI,TBPB
Granville Airport,그랜빌 공항,GFR,LFRF
Greater Frederiction Airport,프레데릭튼 공항,YFC,CYFC
Greater Moncton International Airport,그레이터 몽튼 국제공항,YQM,CYQM
Greater Peoria Airport,그레이터 피오리아 공항,PIA,KPIA
Greater Rochester International Airport,그레이터 로체스터 국제공항,ROC,KROC
Greenbrier Valley Airport,그란비어 밸리 공항,LWB,KLWB
Greene County Airport,그린 카운티 공항,WAY,KWAY
Greenville-Spartanburg Airport,그린빌 스파르탄버그 공항,GSP,KGSP
Griffith Airport,그리피스 공항,GFF,YGTH
Grimsey Airport,그림지 공항,GRY,BIGR
Guadelupe Victoria Airport,과달루페 빅토리아 공항,DGO,MMDO
Guangyuan Panlong Airport,광원판롱 공항,GYS,ZUGU
Guanyin Airport,구아인 공항,XUZ,ZSXZ
Guapi Airport,과피 공항,GPI,SKGP
Guararapes International Airport,과하라페즈 국제공항 ,REC,SBRF
Guarulhos International Airport,과룰하스 국제공항,GRU,SBGR
Guelmim Airport,굴임 공항,GLN,GMAG
Gueret Airport,거렛 공항,MCU,LFBK
Gueret Saint-Laurent Airport,거렛 상 로랭 공항,XGT,LFCE
Guernsey Airport,건지 공항,GCI,EGJB
Guglielmo Marconi Airport,구글리에모 마르코니 공항,BLQ,LIPE
Guilin Liangjiang International Airport,구이린 리엥쟝 국제공항,KWL,ZGKL
Guipavas Airport,구이파바스 공항,BES,LFRB
Guiyang Longdongbao Airport,구이양 롱둥바오 공항,KWE,ZUGY
Gulfport-Biloxi International Airport,걸포트 빌록시 국제공항,GPT,KGPT
Gumrak Airport,굼락 공항,VOG,URWW
Gunnison County Airport,거니선 카운티 공항,GUC,KGUC
Gunsan Airport,군산 공항,KUV,RKJK
Gurayat Domestic Airport,궈리아잇트 국내공항,URY,OEGT
Gustavo Rojas Pinilla International Airport ,구스타브 로자스 피닐라 국제공항 ,ADZ,SKSP
Guyuan Liupanshan Airport,Guyuan Liupanshan Airport,GYU,ZLGY
Gwadar International Airport,과다르 국제공항,GWD,OPGD
Gwalior Airport / Maharajpur Air Force Base,관리오르 공항 ,GWL,VIGR
Gwangju Airport,광주 공항,KWJ,RKJJ
H.A.S. Hanandjoeddin Airport,HAS 하난조에딘 국제공항,TJQ,WIKT
Habib Bourguiba International Airport,후비브 부르기바 국제공항,MIR,DTMB
Hachijojima Airport,하치조이지마 공항,HAC,RJTH
Hagfors Airport,하그포스 공항,HFS,ESOH
Hahn Airport,한 공항,HHN,EDFH
Haifa International Airport ,하이파 국제공항 ,HFA,LLHA
Haikou Meilan International Airport,하이커우 메일런 국제공항,HAK,ZJHK
Hail Regional Airport,하일 지역공항,HAS,OEHL
Hailar Dongshan Airport,하이라얼 둥샨 공항,HLD,ZBLA
Hakkari Yuksekova Airport,Hakkari Yuksekova Airport,YKO,LTCW
Hakodate Airport,하코다테 공항,HKD,RJCH
Halifax Robert L. Stanfield International Airport,핼리팩스 로버트 스탠필드 국제공항,YHZ,CYHZ
Halim Perdanakusuma Airport,하림 페다나 쿠수마 공항,HLP,WIHH
Halli Airport,할리 공항,KEV,EFHA
Halmstad Airport,할름스타드 공항,HAD,ESMT
Hamadan Airport,하마단 공항,HDM,OIHH
Hami Airport,하미 공항,HMI,ZWHM
Hamilton Island Airport,헤밀튼아일랜드 공항,HTI,YBHM
Hammerfest Airport,함메르페스트 공항,HFT,ENHF
Hanamaki Airport,하나마키 공항,HNA,RJSI
Hancock International Airport,핸콕 국제공항,SYR,KSYR
Handan Airport,한단 공항,HDG,ZBHD
Hangzhou Xiaoshan International Airport,항저우 지오샨 국제공항,HGH,ZSHC
Hanover / Langenhagen International Airport,하노버 랭젠히겐 국제공항,HAJ,EDDV
Hanzhong Airport,한중 공항,HZG,ZLHZ
Harare International Airport,하라레 국제공항,HRE,FVHA
Harbin Taiping International Airport,하얼빈 타이팽 국제공항,HRB,ZYHB
Harrisburg International Airport,해리스버그 국제공항,MDT,KMDT
Hartsfield-Jackson Atlanta International Airport,하츠필드 잭슨 애틀랜타 국제공항,ATL,KATL
Hasanuddin Airport,하사누딘 공항,UPG,WAAA
Hassan Airport ,하산 공항,EUN,GMML
Hasvik Airport,하스비크 공항,HAA,ENHK
Hat Yai International Airport,햇야이 국제공항,HDY,VTSS
Hatay Airport,하타이 공항,HTY,LTDA
Hateruma Airport,하테루마 공항,HTR,RORH
Hato International Airport ,하토 국제공항 ,CUR,TNCC
Haukasen Airport,하우카젠 공항,SOG,ENSG
Havryshivka Vinnytsia International Airport,Havryshivka Vinnytsia 국제 공항,VIN,UKWW
Hawarden Airport,후워든 공항,CEG,EGNR
Heathrow Airport,히드로우 공항,LHR,EGLL
Hechi Jinchengjiang Airport,Hechi Jinchengjiang Airport,HCJ,ZGHC
Hefei Luogang International Airport,허페이 루와강 국제공항,HFE,ZSOF
Heihe Airport,헤이허 공항,HEK,ZYHE
Heliport De Paris Airport,헬리콥터드파리공항,JDP,LFPI
Helle Airport,헬레 공항,SVJ,ENSH
Helsinki-Vantaa Airport,헬싱키 반타 공항,HEL,EFHK
Hemavan Airport,히마밴 공항,HMV,ESUT
Henderson Municipal Airport,핸더슨 시공항,HSH,KHND
Hengyang Airport,헝양 공항,HNY,ZGHY
Hercilio Luz Airport,헤르칠리오 후즈 공항,FLN,SBFL
Hermes Quijada Airport,헤르미스 퀴야다 공항,RGA,SAWE
Herndon Airport,헌던 공항,ORL,KORL
Hervey Bay Airport,허비베이 공항,HVB,YHBA
Herzliya Airport,허 즐리 야 공항,HRZ,LLHZ
Hewanorra Airport,헤와노라 공항,UVF,TLPL
Heydar Aliyev International Airport,하이다르 알리예프 국제 공항,GYD,UBBB
Hierro Airport,히에로 공항,VDE,GCHI
Hihifo Airport,히히포 공항,WLS,NLWW
Hikueru Airport,히쿠에루 공항,HHZ,NTGH
Hilo International Airport,힐로 국제공항,ITO,PHTO
Hindon Airport,힌돈 공항,VDX,VIDX
Hirara Airport,히라라 공항,MMY,ROMY
Hiroshima International Airport,히로시마 국제공항,HIJ,RJOA
Hisar Airport,히사르 공항,HSS,VIHR
Hobart International Airport,호바트 국제공항,HBA,YMHB
Hobby Airport,하비 공항,HOU,KHOU
Hoeybuktmoen Airport,후에이벅트묀 공항,KKN,ENKR
Hohhot Baita International Airport,호홋 바이타 국제공항,HET,ZBHH
Hokkaido Airport,홋카이도 공항,WKJ,RJCW
Holingol Huolinhe Airport,Holingol Huolinhe 공항,HUO,ZBHZ
Hong Kong International Airport ,홍콩 국제공항 ,HKG,VHHH
Hongqiao Airport,홍챠오 공항,SHA,ZSSS
Hongyuan Airport,홍원 공항,AHJ,ZUHY
Honolulu International Airport,호놀룰루 국제공항,HNL,PHNL
Horn Island,혼아일랜드 공항,TIS,YHID
Hornafjordur Airport,호나표드르 공항,HFN,BIHN
Horta Airport,호르타 공항,HOR,LPHR
Hosea Kutako International Airport,호세아 쿠타코 국제공항,WDH,FYWH
Hotan Airport,호텐 공항,HTN,ZWTN
Houari Boumediene Airport,훼리 부미딘 공항,ALG,DAAG
Hovden Airport,호프덴 공항,HOV,ENOV
Hua Hin Airport,후하힌 공항,HHQ,VTPH
Huaian Lianshui Airport,화이안 Lianshui 공항,HIA,ZSSH
Huaihua Zhijiang Airport,화이아 지장 공항,HJJ,ZGCJ
Hualien Airport,화롄 / 화련 /후알리엔 공항,HUN,RCYU
Huang Guo Shu Airport,후앙구오수공항,AVA,
Huangshan Tunxi International Airport,황산 턴시 국제공항,TXN,ZSTX
Huangyan Luqiao Airport,황암구 리쨔오 공항,HYN,ZSLQ
Huatugou Airport,화투구 공항,HTT,ZLHX
Hubli Airport / Hubli Air Force Base,후블리,HBX,VOHB
Huejotsingo Airport ,후에조트싱고 공항 ,PBC,MMPB
Huesca / Pirineos Airport,우에스카 / 피리네오스 공항,HSK,LEHC
Huizhou Pingtan Airport,혜주 핑탄 공항,HUZ,ZGHZ
Humacao Airport,휴마카오 공항,HUC,ZLHX
Humberside Airport,험버사이드 공항,HUY,EGNJ
Huntsville International Airport,헌츠빌 국제공항,HSV,KHSV
Hurghada International Airport,허가다 국제공항,HRG,HEGN
Husavik Airport,후자빅 공항,HZK,BIHU
Husein Sastranegara Airport,후세인 사스트라네가라 공항,BDO,WICC
Hyakuri Airport ,히야쿠리 공항,IBR,RJAH
Hyderabad Airport,하이데라바드 공항,HDD,OPKD
Iasi International Airport,이아시 국제공항,IAS,LRIA
Ibadan Airport,이바단 공항,IBA,DNIB
Ibiza Airport,이비사 공항,IBZ,LEIB
Idaho Falls Municipal Airport,아이다호폴스 시공항,IDA,KIDA
Iejima Airport,레지마 공항,IEJ,RORE
Igdır Airport,Igdır 공항,IGD,LTCT
Ignacio Agramonte International Airport,이그나시오 아그라몬테 국제공항,CMW,MUCM
Ignatyevo Airport,이냐체프 공항,BQS,UHBB
Ikaria Island National Airport,이카리아 아일랜드 내셔널 공항,JIK,LGIK
Iki Airport,이키 공항,IKI,RJDB
Ilam Airport,Ilam 공항,IIL,OICI
Ile dYeu Airport,일레드유 공항,IDY,LFEY
Ilheus Jorge Amado Airport,일에우스 호르헤 아마도 공항,IOS,SBIL
Ilo Airport,일로 공항,ILQ,SPLO
Iloilo International Airport,일로일로 국제공항,ILO,RPVI
Ilopango International Airport,일로팡고 국제공항,ILS,MSSS
Ilorin International Airport,일로린 국제공항,ILR,DNIL
Imam Khomeini International Airport,아맘 호메이티 국제공항,IKA,OIIE
Imo Airport,이모 공항 ,QOW,DNIM
Imphal Municipal Airport,임팔 시공항,IMF,VEIM
Inca Manco Capac International Airport,잉카 망코 카팍 국제공항,JUL,SPJL
Incheon International Airport,인천 국제공항,ICN,RKSI
Indianapolis International Airport,인디애나폴리스 국제공항,IND,KIND
Indira Gandhi International Airport,인디라 간디 국제공항,DEL,VIDP
Inhaca Airport,인하카 공항,IHC,FQIA
Inhambane Airport,이냠바네 공항,INH,FQIN
Inverness Airport,인버니스 공항,INV,EGPE
Ioannis Daskalogiannis ,이오아니스 다스칼로지아니스 ,CHQ,LGSA
