영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO)
Belgrade Nikola Tesla International Airport,벨그라드 국제공항,BEG,LYBE
Bellingham International Airport,벨링헴 국제공항,BLI,KBLI
Belmonte Airport,벨몬테 공항,PVH,SBPV
Belo Horizonte International Airport,벨루 오리 존치 국제 공항,BHZ,SBCF
Beloyarsk Airport,벨로스타크 공항,EYK,USHQ
Belp Airport ,벨프 공항,BRN,LSZB
Ben Gurion International Airport,반구리온 국제공항,TLV,LLBG
Ben Slimane Airport,벤슬리만 공항,GMD,GMMB
Benazir Bhutto International Airport ,베나지르 부토 국제공항 ,ISB,OPRN
Benbecula Airport,벤베쿠라 공항,BEB,EGPL
Bengaluru International Airport,벵갈루루 국제공항,BLR,VOBL
Benin Airport,베닌 공항,BNI,DNBE
Benito Juarez International Airport ,베니토 후아레즈 국제공항 ,MEX,MMMX
Benjamin Rivera Noriega Airport,벤쟈민 리베라 노리에가 공항,CPX,TJCP
Berlevag Airport,벨레보그 공항,BVG,ENBV
Berlin Brandenburg Airport,베를린 브란덴부르크 공항,BER,EDDB
Bertram Luiz Leupolz-Sorocaba Airport,버트램 루이즈루폴스-소로카바 공항,SOD,SDCO
Besancon La Veze Airport,브장송 라 베즈 공항,QBQ,LFQM
Beslan Airport,베슬란 공항,OGZ,URMO
Beziers-Vias Airport,베이지에르 비어스 공항,BZR,LFMU
Bhavnagar Airport,바브하가 공항,BHU,VABV
Bhisiana Air Force Base,비자냐 공군기지,BUP,VIBT
Bhuntar Airport,분타르 공항,KUU,VIBR
Biard Airport,비어드 공항,PIS,LFBI
Biarritz-Parme Airport ,비아리츠 팜 공항 ,BIQ,LFBZ
Biggin Hill Airport,비긴 힐 공항,BQH,EGKB
Biju Patnaik Airport ,비주 타르나익 공항 ,BBI,VEBS
Bilbao Airport,빌바오 공항,BIO,LEBB
Billard Municipal Airport,빌러드 시공항,TOP,KTOP
Billings Logan International Airport,빌링스 로건 국제공항,BIL,KBIL
Billund Airport,빌룬드 공항,BLL,EKBI
Billy Bishop Toronto City Airport,빌리비숍 토론토 시티 공항 ,YTZ,CYTZ
Bingol Airport,Bingol 공항,BGG,LTCU
Bintulu Airport,빈툴루 공항,BTU,WBGB
Birjand Airport,버잔드 공항,XBJ,OIMB
Birmingham International Airport,버밍햄 국제공항,BHX,EGBB
Birmingham-Shuttleworth International Airport,버밍햄 셔틀워스 국제공항,BHM,KBHM
Birsa Munda Airport ,버사 문다 공항,IXR,VERC
Bisha Domestic Airport,비샤 국내공항,BHH,OEBH
Biskra Airport,비스크라 공항,BSK,DAUB
Bismarck Municipal Airport,비스마르크 시공항,BIS,KBIS
Blackpool Airport,블랙풀 공항,BLK,EGNH
Blaise Diagne International Airport,블레즈 디아뉴 국제공항,DSS,GOBD
Blang Bintang Airport,발랑 빈탕 공항,BTJ,WITT
Bloemfontein International Airport,블룸폰테인 국제공항,BFN,FABL
Blois Le Breuil Airport,블루아 르 브뢰일 공항,XBQ,LFOQ
Blue Danube Airport ,블루 다뉴브 공항 ,LNZ,LOWL
Blue Grass Airport,블루 그래스 공항,LEX,KLEX
Boa Vista International Airport,보아비스타 국제공항,BVB,SBBV
Bob Hope Airport,밥 호프 공항,BUR,KBUR
Bodo Airport,보되 공항,BOO,ENBO
Bogashevo Airport,보가쉐프 공항,TOF,UNTT
Bogorodskoye Airport,보고로드스코예 공항,BQG,UHNB
Boise Air Terminal ,보이시 에어터미널 ,BOI,KBOI
Bojnord Airport,버지노르드 공항,BJB,OIMN
Bole Airport,보울 공항,ADD,HAAB
Bole Alashankou Airport,Bole Alashankou Airport,BPL,ZWBL
Bolshoye Savino Airport,볼쇼이 사비노 공항,PEE,USPP
Bordeaux - Merignac Airport,보르도 메리낙 공항,BOD,LFBD
Bordj Mokhtar Airport,보 목타르 공항,BMW,DATM
Borg El Arab Airport,보르헤 헬 아랍 공항,HBE,HEBA
Borgo Airport,보르고 공항,BOY,DFOO
Borinquen Airport,보링겐 공항,BQN,TJBQ
Borispol Airport,보르스폴 공항,KBP,UKBB
Borjhar Airport,보리쟈 공항,GAU,VEGT
Bornholm Airport,본홀름 공항,RNN,EKRN
Borongan Airport,보롱간 공항,BPR,RPVW
Bossembele Airport,보셈벨레 공항,BEM,FEFL
Bouarfa Airport,Bouarfa 공항,UAR,GMFB
Bouchekif Airport,부체키프 공항,TID,DAOB
Boukhaif / Tanger Airport,뷰카이프 / 탕게르 공항,TNG,GMTT
Bourges Airport,부르지스 공항,BOU,LFLD
Bournemouth International Airport,본머스 국제공항,BOH,EGHH
Bowman Field,보우먼 필드,LOU,KLOU
Bradley International Airport,브래들리 국제공항,BDL,KBDL
Brasilia International Airport,브라질리아 국제공항,BSB,SBBR
Bremen Airport,브레멘 공항,BRE,EDDW
Brie-Champniers Airport,브리에 샹프니에 공항,ANG,LFBU
Brindisi Salento Airport ,브린디시 살렌토 ,BDS,LIBR
Bringeland Airport,브린절랜드 공항,FDE,ENBL
Brisbane International Airport,브리즈번 국제공항,BNE,YBBN
Bristol International Airport,브리스틀 국제공항,BRS,EGGD
Brive / Souillac Airport,브리브 / 수이락 공항,BVE,LFSL
Brnik Airport,브르니크 공항,LJU,LJLJ
Broken Hill Airport,브로큰힐 공항,BHQ,YBHI
Bromma Airport,브로마 공항,BMA,ESSB
Bronnoy Airport,브로노이 공항,BNN,ENBN
Broome International Airport,브룸 국제공항,BME,YBRM
Brownsville / South Padre Island International Airport,브라운스빌 사우스 파드레 아일랜드 국제공항,BRO,KBRO
Brunswick Golden Isles Airport,브런즈윅 골든 아일스 공항,BQK,KBQK
Brussels Airport ,브뤼셀 내셔널 공항,BRU,EBBR
Buayan Airport,부야안 공항,GES,RPMB
Bucharest Aurel Vlaicu International Airport ,부쿠레슈티 아우렐 블래쿠 국제공항 ,BBU,LRBS
Bucharest Henri Coanda International Airport ,부쿠레슈티 헨리 코언다 국제공항 ,OTP,LROP
Buenaventura Airport,부에나벤투라 공항,BUN,SKBU
Buffalo Niagara International Airport,버펄로 나이아가라 국제공항,BUF,KBUF
Bugulma Airport,부굴마 공항,UUA,UWKB
Bujumbura International Airport,부줌부라 국제공항,BJM,HBBA
Bukhara Airport,부하라한국 공항,BHK,UTSB
Bukoba Airport,부코바 공항,BKZ,HTBU
Bundaberg Airport,번다버그 공항,BDB,YBUD
Burgas International Airport ,부르가스 국제공항 ,BOJ,LBBG
Burgos Airport,부르고스 공항,RGS,LEBG
Buriram Airport,부리람 공항,BFV,VTUO
Burlington International Airport,벌링턴 국제공항,BTV,KBTV
Burnie Wynyard Airport,버니 윈야드 공항,BWT,YWYY
Bushehr Airport,부쉐르 공항,BUZ,OIBB
Busuanga Airport ,부수앙가 공항,USU,RPVV
Butmir Airport,부트미르 공항,SJJ,LQSA
Butuan Airport,부투안 공항,BXU,RPME
Bydgoszcz Ignacy Jan Paderewski Airport,비드고슈치 이그냐시 잔 파데레프스키 공항,BZG,EPBY
Ca Mau Airport,카마우 공항,CAH,VVCM
Cabinda Airport,카빈다 공항,CAB,FNCA
Cadjehoun Airport,캐드훈 공항,COO,DBBB
Cahors Lalbenque Airport,카오르 공항,ZAO,LFCC
Cairns International Airport,케언스 국제공항,CNS,YBCS
Cairo International Airport,카이로 국제공항,CAI,HECA
Calais - Dunkerque Airport,칼레덩케르크 공항,CQF,LFAC
Calapan Airport,칼라판 공항,CPP,SCKP
Calbayog Airport,칼바욕 공항,CYP,RPVC
Calgary International Airport,캘거리 국제공항,YYC,CYYC
Calicut International Airport ,칼리컷 국제공항 ,CCJ,VOCL
Cam Ranh Airport,캄 라흐 공항,CXR,VVCR
Cambridge Airport,케임브리지 공항,CBG,EGSC
Camilo Dazo International Airport,카밀로 다조 공항,CUC,SKCC
Campeche International Airport,캄페체 국제공항,CPE,MMCP
Campo Grande International Airport,캄푸그란데 국제공항,CGR,SBCG
Canakkale Airport,차나칼레 공항,CKZ,LTBH
Canberra International Airport,캔버라 국제공항,CBR,YSCB
Cancun International Airport,캔쿤 국제공항,CUN,MMUN
Cangyuan Washan Airport,Cangyuan Washan 공항,CWJ,ZPCW
Cano Airport ,캐노 공항 ,PSO,SKPS
Cap Skiring Airport,캡스컬링 공항,CSK,GOGS
Cape Town International Airport,케이프타운 국제공항,CPT,FACT
Capitan Carlos Rovirosa Perez Airport,카피탄 카를로스 로비로사 공항,VSA,MMVA
Capitan Corbeta CA Curbelo International Airport,캡튼 코르베타 CA 쿠르벨로 국제공항,PDP,SULS
Capitan FAP Carlos Martinez de Pinillos Airport,카피탄 FAP 카를로스 마르티네즈 데 피닐로스 공항,TRU,SPRU
Capitan FAP Guillermo Concha Iberico Airport,카피탄 FAP 길레르모 콘챠 이베리코 공항,PIU,SPUR
Capitan FAP Pedro Canga Rodriguez Airport,카피탄 FAP 페드로 캉가 로드리게즈 공항,TBP,SPME
